waktu,suhu_2,suhu_permukaan,kelembaban_tanah
2020-05-01 00:19:24,28.0,62.0,84.0
2020-05-01 00:19:27,28.0,62.0,84.0
2020-05-01 00:19:30,28.0,62.0,84.0
2020-05-01 00:19:33,28.0,62.0,84.0
2020-05-01 00:19:36,29.0,63.0,84.0
2020-05-01 00:19:39,29.0,63.0,84.0
2020-05-01 00:19:42,28.0,62.0,84.0
2020-05-01 00:19:45,28.0,62.0,84.0
2020-05-01 00:19:48,29.0,62.0,84.0
2020-05-01 00:19:51,29.0,62.0,84.0
2020-05-01 00:19:54,28.0,63.0,84.0
2020-05-01 00:19:57,28.0,63.0,84.0
2020-05-01 00:20:00,28.0,63.0,84.0
2020-05-01 00:20:03,28.0,64.0,84.0
2020-05-01 00:20:06,28.0,64.0,84.0
2020-05-01 00:20:09,29.0,63.0,84.0
2020-05-01 00:20:12,29.0,63.0,84.0
2020-05-01 00:20:15,29.0,62.0,84.0
2020-05-01 00:20:18,29.0,62.0,84.0
2020-05-01 00:20:21,29.0,63.0,84.0
2020-05-01 00:20:24,29.0,63.0,84.0
2020-05-01 00:20:27,28.0,64.0,84.0
2020-05-01 00:20:30,28.0,64.0,84.0
2020-05-01 00:20:33,28.0,64.0,84.0
2020-05-01 00:20:36,28.0,63.0,84.0
2020-05-01 00:20:39,28.0,63.0,84.0
2020-05-01 00:20:42,28.0,63.0,84.0
2020-05-01 00:20:45,28.0,63.0,84.0
2020-05-01 00:20:48,28.0,63.0,84.0
2020-05-01 00:20:51,28.0,63.0,84.0
2020-05-01 00:20:54,29.0,62.0,84.0
2020-05-01 00:20:57,29.0,62.0,84.0
2020-05-01 00:21:00,28.0,63.0,84.0
2020-05-01 00:21:03,28.0,63.0,84.0
2020-05-01 00:21:06,28.0,63.0,84.0
2020-05-01 00:21:09,28.0,63.0,84.0
2020-05-01 00:21:12,29.0,62.0,84.0
2020-05-01 00:21:15,29.0,62.0,84.0
2020-05-01 00:21:18,28.0,62.0,84.0
2020-05-01 00:21:21,28.0,62.0,84.0
2020-05-01 00:21:24,28.0,62.0,84.0
2020-05-01 00:21:27,28.0,62.0,84.0
2020-05-01 00:21:30,28.0,62.0,84.0
2020-05-01 00:21:33,28.0,62.0,84.0
2020-05-01 00:21:36,28.0,62.0,84.0
2020-05-01 00:21:39,29.0,63.0,84.0
2020-05-01 00:21:42,29.0,63.0,84.0
2020-05-01 00:21:45,28.0,63.0,84.0
2020-05-01 00:21:48,28.0,63.0,84.0
2020-05-01 00:21:51,28.0,62.0,84.0
2020-05-01 00:21:54,28.0,62.0,84.0
2020-05-01 00:21:57,28.0,62.0,84.0
2020-05-01 00:22:00,28.0,63.0,84.0
2020-05-01 00:22:03,28.0,63.0,84.0
2020-05-01 00:22:06,29.0,62.0,84.0
2020-05-01 00:22:09,29.0,62.0,84.0
2020-05-01 00:22:12,29.0,63.0,84.0
2020-05-01 00:22:15,29.0,63.0,84.0
2020-05-01 00:22:18,29.0,63.0,84.0
2020-05-01 00:22:21,29.0,63.0,84.0
2020-05-01 00:22:24,29.0,62.0,84.0
2020-05-01 00:22:27,29.0,62.0,84.0
2020-05-01 00:22:30,29.0,62.0,84.0
2020-05-01 00:22:33,28.0,63.0,84.0
2020-05-01 00:22:36,29.0,62.0,84.0
2020-05-01 00:22:39,29.0,62.0,84.0
2020-05-01 00:22:42,29.0,62.0,84.0
2020-05-01 00:22:45,28.0,63.0,84.0
2020-05-01 00:22:48,28.0,63.0,84.0
2020-05-01 00:22:51,28.0,62.0,84.0
2020-05-01 00:22:54,28.0,62.0,84.0
2020-05-01 00:22:57,29.0,62.0,84.0
2020-05-01 00:23:00,29.0,62.0,84.0
2020-05-01 00:23:03,29.0,63.0,84.0
2020-05-01 00:23:06,29.0,63.0,84.0
2020-05-01 00:23:09,28.0,62.0,84.0
2020-05-01 00:23:12,28.0,62.0,84.0
2020-05-01 00:23:15,28.0,62.0,84.0
2020-05-01 00:23:18,29.0,63.0,84.0
2020-05-01 00:23:21,29.0,62.0,84.0
2020-05-01 00:23:24,29.0,62.0,84.0
2020-05-01 00:23:27,29.0,62.0,84.0
2020-05-01 00:23:30,28.0,62.0,84.0
2020-05-01 00:23:33,28.0,62.0,84.0
2020-05-01 00:23:36,28.0,63.0,84.0
2020-05-01 00:23:39,28.0,63.0,84.0
2020-05-01 00:23:42,29.0,62.0,84.0
2020-05-01 00:23:45,29.0,62.0,84.0
2020-05-01 00:23:48,29.0,62.0,84.0
2020-05-01 00:23:51,29.0,62.0,84.0
2020-05-01 00:23:54,29.0,63.0,84.0
2020-05-01 00:23:57,29.0,63.0,84.0
2020-05-01 00:24:00,29.0,63.0,84.0
2020-05-01 00:24:03,28.0,63.0,84.0
2020-05-01 00:24:06,28.0,63.0,84.0
2020-05-01 00:24:09,28.0,63.0,84.0
2020-05-01 00:24:12,28.0,63.0,84.0
2020-05-01 00:24:15,28.0,62.0,84.0
2020-05-01 00:24:18,28.0,62.0,84.0
2020-05-01 00:24:21,29.0,62.0,84.0
2020-05-01 00:24:24,29.0,62.0,84.0
2020-05-01 00:24:27,28.0,63.0,84.0
2020-05-01 00:24:30,28.0,63.0,84.0
2020-05-01 00:24:33,28.0,63.0,84.0
2020-05-01 00:24:36,29.0,62.0,84.0
2020-05-01 00:24:39,29.0,62.0,84.0
2020-05-01 00:24:42,29.0,62.0,84.0
2020-05-01 00:24:45,29.0,62.0,84.0
2020-05-01 00:24:48,29.0,63.0,84.0
2020-05-01 00:24:51,29.0,63.0,84.0
2020-05-01 00:24:54,29.0,62.0,84.0
2020-05-01 00:24:57,29.0,62.0,84.0
2020-05-01 00:25:00,28.0,62.0,84.0
2020-05-01 00:25:03,28.0,62.0,84.0
2020-05-01 00:25:06,28.0,63.0,84.0
2020-05-01 00:25:09,28.0,63.0,84.0
2020-05-01 00:25:12,28.0,62.0,84.0
2020-05-01 00:25:15,28.0,62.0,84.0
2020-05-01 00:25:18,28.0,62.0,84.0
2020-05-01 00:25:21,29.0,63.0,84.0
2020-05-01 00:25:24,29.0,63.0,84.0
2020-05-01 00:25:27,29.0,62.0,84.0
2020-05-01 00:25:30,29.0,62.0,84.0
2020-05-01 00:25:33,28.0,62.0,84.0
2020-05-01 00:25:36,28.0,62.0,84.0
2020-05-01 00:25:39,28.0,63.0,84.0
2020-05-01 00:25:42,28.0,63.0,84.0
2020-05-01 00:25:45,28.0,63.0,84.0
2020-05-01 00:25:48,28.0,63.0,84.0
2020-05-01 00:25:51,28.0,63.0,84.0
2020-05-01 00:25:54,29.0,63.0,84.0
2020-05-01 00:25:57,29.0,63.0,84.0
2020-05-01 00:26:00,28.0,63.0,84.0
2020-05-01 00:26:03,28.0,63.0,84.0
2020-05-01 00:26:06,28.0,63.0,84.0
2020-05-01 00:26:09,28.0,63.0,84.0
2020-05-01 00:26:12,28.0,62.0,84.0
2020-05-01 00:26:15,28.0,62.0,84.0
2020-05-01 00:26:18,28.0,62.0,84.0
2020-05-01 00:26:21,28.0,62.0,84.0
2020-05-01 00:26:24,29.0,62.0,84.0
2020-05-01 00:26:27,29.0,62.0,84.0
2020-05-01 00:26:30,28.0,63.0,84.0
2020-05-01 00:26:33,28.0,63.0,84.0
