waktu,Unnamed: 0,kelembaban,suhu,permukaan,hujan,curah
2020-03-09 01:01:37,9898,68.0,41.0,26.0,101.0,0.0
2020-03-09 01:01:44,9899,68.0,42.0,26.0,101.0,0.0
2020-03-09 01:01:50,9900,68.0,42.0,26.0,101.0,0.0
2020-03-09 01:01:51,9901,68.0,42.0,27.0,101.0,0.0
2020-03-09 01:01:57,9902,68.0,42.0,26.0,101.0,0.0
2020-03-09 01:02:03,9903,68.0,41.0,27.0,101.0,0.0
2020-03-09 01:02:10,9904,68.0,42.0,26.0,101.0,0.0
2020-03-09 01:02:35,9905,68.0,42.0,26.0,101.0,0.0
2020-03-09 01:02:48,9906,68.0,41.0,26.0,101.0,0.0
2020-03-09 01:02:55,9907,68.0,42.0,26.0,101.0,0.0
2020-03-09 01:03:02,9908,68.0,42.0,26.0,101.0,0.0
2020-03-09 01:03:14,9909,68.0,43.0,26.0,101.0,0.0
2020-03-09 01:03:21,9910,68.0,42.0,26.0,101.0,0.0
2020-03-09 01:03:27,9911,68.0,42.0,26.0,101.0,0.0
2020-03-09 01:03:33,9912,68.0,42.0,26.0,101.0,0.0
2020-03-09 01:03:35,9913,68.0,42.0,26.0,101.0,0.0
2020-03-09 01:03:46,9914,67.0,42.0,26.0,101.0,0.0
2020-03-09 01:03:53,9915,68.0,43.0,26.0,101.0,0.0
2020-03-09 01:03:59,9916,68.0,42.0,26.0,101.0,0.0
2020-03-09 01:04:44,9917,68.0,42.0,26.0,101.0,0.0
2020-03-09 01:04:50,9918,68.0,42.0,26.0,101.0,0.0
2020-03-09 01:04:57,9919,68.0,41.0,26.0,101.0,0.0
2020-03-09 01:05:10,9920,68.0,41.0,26.0,101.0,0.0
2020-03-09 01:05:17,9921,68.0,42.0,26.0,101.0,0.0
2020-03-09 01:05:23,9922,67.0,41.0,26.0,101.0,0.0
2020-03-09 01:05:30,9923,68.0,41.0,26.0,101.0,0.0
2020-03-09 01:05:42,9924,68.0,42.0,26.0,101.0,0.0
2020-03-09 01:06:02,9925,68.0,41.0,26.0,101.0,0.0
2020-03-09 01:06:08,9926,68.0,42.0,26.0,101.0,0.0
2020-03-09 01:06:15,9927,68.0,41.0,26.0,101.0,0.0
2020-03-09 01:06:46,9928,68.0,42.0,26.0,101.0,0.0
2020-03-09 01:06:53,9929,68.0,41.0,27.0,101.0,0.0
2020-03-09 01:06:59,9930,68.0,41.0,26.0,101.0,0.0
2020-03-09 01:07:13,9931,68.0,41.0,26.0,101.0,0.0
2020-03-09 01:07:18,9932,68.0,41.0,26.0,101.0,0.0
2020-03-09 01:07:20,9933,68.0,40.0,26.0,101.0,0.0
2020-03-09 01:07:25,9934,68.0,40.0,26.0,101.0,0.0
2020-03-09 01:07:32,9935,68.0,41.0,26.0,101.0,0.0
2020-03-09 01:07:38,9936,68.0,39.0,26.0,101.0,0.0
2020-03-09 01:07:45,9937,68.0,40.0,26.0,101.0,0.0
2020-03-09 01:07:52,9938,68.0,40.0,26.0,101.0,0.0
2020-03-09 01:07:58,9939,68.0,40.0,26.0,101.0,0.0
2020-03-09 01:08:05,9940,68.0,40.0,26.0,101.0,0.0
2020-03-09 01:08:17,9941,68.0,40.0,26.0,101.0,0.0
2020-03-09 01:08:24,9942,68.0,39.0,26.0,101.0,0.0
2020-03-09 01:08:30,9943,68.0,40.0,26.0,101.0,0.0
2020-03-09 01:09:34,9944,68.0,40.0,26.0,101.0,0.0
2020-03-09 01:09:41,9945,68.0,39.0,26.0,101.0,0.0
2020-03-09 01:09:54,9946,68.0,39.0,26.0,101.0,0.0
2020-03-09 01:10:06,9947,68.0,39.0,26.0,101.0,0.0
2020-03-09 01:10:25,9948,68.0,39.0,26.0,101.0,0.0
2020-03-09 01:10:38,9949,68.0,39.0,26.0,101.0,0.0
2020-03-09 01:10:52,9950,68.0,41.0,26.0,101.0,0.0
2020-03-09 01:11:17,9951,68.0,39.0,26.0,101.0,0.0
2020-03-09 01:11:23,9952,68.0,39.0,26.0,101.0,0.0
2020-03-09 01:11:49,9953,68.0,39.0,26.0,101.0,0.0
2020-03-09 01:11:56,9954,68.0,40.0,27.0,101.0,0.0
2020-03-09 01:12:02,9955,68.0,39.0,26.0,101.0,0.0
2020-03-09 01:12:08,9956,68.0,39.0,26.0,101.0,0.0
2020-03-09 01:12:09,9957,68.0,42.0,26.0,101.0,0.0
2020-03-09 01:12:15,9958,68.0,41.0,26.0,101.0,0.0
2020-03-09 01:12:22,9959,68.0,40.0,26.0,101.0,0.0
2020-03-09 01:12:47,9960,68.0,40.0,26.0,101.0,0.0
2020-03-09 01:12:54,9961,68.0,40.0,26.0,101.0,0.0
2020-03-09 01:13:06,9962,68.0,40.0,26.0,101.0,0.0
2020-03-09 01:13:19,9963,68.0,40.0,26.0,101.0,0.0
2020-03-09 01:13:32,9964,68.0,40.0,26.0,101.0,0.0
2020-03-09 01:13:38,9965,68.0,40.0,26.0,101.0,0.0
2020-03-09 01:13:45,9966,68.0,40.0,26.0,101.0,0.0
2020-03-09 01:13:51,9967,68.0,39.0,26.0,101.0,0.0
2020-03-09 01:13:53,9968,68.0,39.0,26.0,101.0,0.0
